query,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
Butyrate,cpd:C00246,Butanoic acid;Butanoate;Butyrate;Butyric acid,C4H8O2,Butanoate metabolism;Metabolic pathways;Carbohydrate digestion and absorption;Protein digestion and absorption,NA,Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   Monocarboxylic acids;    C00246  Butyrate; Butanoate; Lipids;  Fatty acids;   Saturated fatty acids;    C00246  Butyric acid (4:0);Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0101 Straight chain fatty acids;    C00246  Butanoic acid;Phytochemical compounds [BR:br08003]; Fatty acids related compounds;  Fatty acids;   Saturated fatty acids;    C00246  Butyric acid,1.3.1.31;2.7.2.7;2.8.3.8;2.8.3.9;3.1.1.51;3.6.1.20;3.7.1.7;6.2.1.2,R01176 R01179 R01365 R01688 R01689 R01690 R03781 R04119
Formate,cpd:C00058,Formate;Methanoic acid;Formic acid,CH2O2,Phosphonate and phosphinate metabolism;Pyruvate metabolism;Chloroalkane and chloroalkene degradation;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Carbon fixation pathways in prokaryotes;Nitrogen metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism;Degradation of aromatic compounds,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   Monocarboxylic acids;    C00058  Formate; Methanoate;Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0101 Straight chain fatty acids;    C00058  Formic acid,1.1.1.306;1.1.98.6;1.2.1.46;1.2.2.1;1.2.7.12;1.2.98.1;1.8.98.6;1.13.11.41;1.13.11.53;1.13.11.54;1.13.11.72;1.13.11.81;1.13.11.89;1.14.12.11;1.14.13.-;1.14.14.14;1.14.14.154;1.14.15.36;1.14.99.21;1.17.1.9;1.17.1.10;1.17.1.11;1.17.2.3;1.17.5.3;1.17.98.3;1.17.98.4;1.17.98.-;2.3.1.54;2.7.2.6;2.8.3.16;3.1.2.10;3.1.2.12;3.5.1.8;3.5.1.9;3.5.1.10;3.5.1.15;3.5.1.31;3.5.1.49;3.5.1.56;3.5.1.68;3.5.1.88;3.5.1.91;3.5.1.102;3.5.1.106;3.5.1.-;3.5.4.16;3.5.4.25;3.5.4.39;3.5.5.-;3.7.1.9;3.7.1.-;4.1.1.2;4.1.2.36;4.1.2.44;4.1.3.-;4.1.99.5;4.1.99.12;4.1.99.17;4.1.99.23;6.3.1.21;6.3.4.3;6.3.4.17;6.3.4.23,R00134 R00152 R00212 R00424 R00425 R00518 R00519 R00521;R00522 R00524 R00525 R00526 R00527 R00604 R00614 R00653;R00753 R00943 R00944 R00988 R01305 R01959 R02238 R02351;R02509 R02604 R03087 R03146 R03204 R03215 R03472 R03728;R03907 R04268 R04283 R04488 R04911 R05046 R05296 R05635;R05640 R05731 R05865 R06940 R06974 R06975 R06987 R07281;R07290 R07303 R07363 R07364 R07662 R07983 R08060 R08451;R08864 R09094 R09126 R09145 R09152 R09185 R09374 R09481;R09494 R09556 R10301 R10348 R10356 R10376 R10511 R10515;R10797 R11037 R11313 R11592 R11633 R11634 R11635 R11636;R11818 R11919 R11944 R12118 R12121 R12317 R12322 R12323;R12451 R12754
Glycolate,cpd:C00160,Glycolate;Glycolic acid;Hydroxyacetic acid,C2H4O3,Chlorocyclohexane and chlorobenzene degradation;Chloroalkane and chloroalkene degradation;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism,Photorespiration,NA,1.1.1.26;1.1.1.29;1.1.1.79;1.1.3.15;1.1.99.14;1.2.1.21;3.1.3.18;3.7.1.28;3.7.1.-;3.8.1.2;3.8.1.3;4.2.99.12,R00465 R00475 R00476 R00717 R01333 R01334 R01335 R01336;R02336 R02857 R05287 R12802
Isopropanol,cpd:C01845,Propan-2-ol;2-Propanol;Isopropanol;Isopropyl alcohol,C3H8O,Butanoate metabolism;Metabolic pathways,NA,Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00137)]; D DERMATOLOGICALS;  D08 ANTISEPTICS AND DISINFECTANTS;   D08A ANTISEPTICS AND DISINFECTANTS;    D08AX Other antiseptics and disinfectants;     D08AX05 Isopropanol;      D00137  Isopropyl alcohol (USP) &lt;JP&gt;;Therapeutic category of drugs in Japan [BR:br08301(D00137)]; 2  Agents affecting individual organs;  26  Epidermides;   261  Antimicrobial agents;    2615  Alcohols;     D00137  Isopropyl alcohol (USP); Isopropanol (JP18);Classification of Japanese OTC drugs [BR:br08313(D00137)]; Agents for integumentary system;  54 Disinfectants (incl. special bandages);   D00137  Isopropyl alcohol (USP);Risk category of Japanese OTC drugs [BR:br08312(D00137)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Isopropanol;    D00137  Isopropyl alcohol (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00137)]; Chemicals;  D00137  Isopropanol,1.1.1.80;1.1.1.-;1.14.13.227,R01550 R10702 R10703
Isovalerate,cpd:C08262,3-Methylbutanoic acid;Isovaleric acid;Isovalerate,C5H10O2,Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of secondary metabolites;Protein digestion and absorption,NA,Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0102 Branched fatty acids;    C08262  3-Methylbutanoic acid,NA,R08411 R08412
Lactate,cpd:C01432,Lactate;Lactic acid;2-Hydroxypropanoic acid;2-Hydroxypropionic acid,C3H6O3,NA,NA,"Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00111)]; G GENITO URINARY SYSTEM AND SEX HORMONES;  G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;   G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS;    G01AD Organic acids;     G01AD01 Lactic acid;      D00111  Lactic acid (JP18/USP) &lt;JP&gt;;Therapeutic category of drugs in Japan [BR:br08301(D00111)]; 7  Agents not mainly for therapeutic purpose;  71  Dispensing medicines;   714  Flavorings, deodorants, coloring agents;    7149  Others;     D00111  Lactic acid (JP18/USP);Risk category of Japanese OTC drugs [BR:br08312(D00111)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Lactic acid;    D00111  Lactic acid (JP18/USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00111)]; Chemicals;  D00111  Lactic acid",1.1.1.436;3.5.1.124,R11562 R11563 R11564 R11676
Methanol,cpd:C00132,Methanol;Methyl alcohol;CH3OH,CH4O,Butanoate metabolism;Methane metabolism;Indole alkaloid biosynthesis;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism;Degradation of aromatic compounds,"Methane oxidation, methanotroph, methane => formaldehyde;Methanogenesis, methanol => methane",NA,1.1.1.244;1.1.2.7;1.1.2.10;1.1.3.13;1.1.99.37;1.2.98.1;1.11.1.6;1.11.1.7;1.11.1.21;1.13.11.8;1.13.11.-;1.14.13.25;1.14.14.117;1.14.18.3;2.1.1.90;2.1.1.246;2.3.1.152;2.3.1.232;3.1.1.11;3.1.1.44;3.1.1.59;3.1.1.61;3.1.1.78;3.1.1.82;3.1.1.85;3.1.1.95;3.1.1.97;3.1.1.100;3.1.1.114;3.1.1.122;3.1.1.-;3.1.6.16;3.3.2.14,R00602 R00605 R00608 R00614 R01142 R01143 R01144 R01145;R01146 R02362 R02624 R03551 R04280 R04384 R04409 R04608;R05825 R06250 R06685 R06729 R08149 R08150 R08974 R08975;R09061 R09098 R09273 R09274 R09337 R09518 R09553 R09725;R09846 R10319 R10320 R10545 R10681 R10705 R10983 R11166;R11189 R13238 R13239
Phenol,cpd:C00146,Phenol;Benzenol;Hydroxybenzene;Phenic acid;Phenylic acid,C6H6O,Tyrosine metabolism;Chlorocyclohexane and chlorobenzene degradation;Benzoate degradation;Aminobenzoate degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Protein digestion and absorption;Chemical carcinogenesis - reactive oxygen species,"Benzene degradation, benzene => catechol","Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00033)]; C CARDIOVASCULAR SYSTEM;  C05 VASOPROTECTIVES;   C05B ANTIVARICOSE THERAPY;    C05BB Sclerosing agents for local injection;     C05BB05 Phenol;      D00033  Phenol (JP18/USP) &lt;JP&gt;; D DERMATOLOGICALS;  D08 ANTISEPTICS AND DISINFECTANTS;   D08A ANTISEPTICS AND DISINFECTANTS;    D08AE Phenol and derivatives;     D08AE03 Phenol;      D00033  Phenol (JP18/USP) &lt;JP&gt;; N NERVOUS SYSTEM;  N01 ANESTHETICS;   N01B ANESTHETICS, LOCAL;    N01BX Other local anesthetics;     N01BX03 Phenol;      D00033  Phenol (JP18/USP) &lt;JP&gt;; R RESPIRATORY SYSTEM;  R02 THROAT PREPARATIONS;   R02A THROAT PREPARATIONS;    R02AA Antiseptics;     R02AA19 Phenol;      D00033  Phenol (JP18/USP) &lt;JP&gt;;Therapeutic category of drugs in Japan [BR:br08301(D00033)]; 2  Agents affecting individual organs;  25  Urogenital and anal organ agents;   255  Hemorrhoidal preparations;    2559  Others;     D00033  Phenol (JP18/USP); Liquefied phenol (JP18); Phenol for disinfection (JP18);  26  Epidermides;   261  Antimicrobial agents;    2619  Others;     D00033  Phenol (JP18/USP); Liquefied phenol (JP18); Phenol for disinfection (JP18);  27  Dental preparations;   273  Analgesics and sedatives;    2730  Analgesics and sedatives;     D00033  Phenol (JP18/USP); Liquefied phenol (JP18); Phenol for disinfection (JP18); 7  Agents not mainly for therapeutic purpose;  73  Public health agents;   732  Germicides and disinfectants;    7322  Phenols and chlorophenols;     D00033  Phenol (JP18/USP); Liquefied phenol (JP18); Phenol for disinfection (JP18);Classification of Japanese OTC drugs [BR:br08313(D00033)]; Agents for otolaryngologic use;  71 Ear drops;   D00033  Phenol (JP18/USP); Agents for dental and stomatological use;  75 Toothache and pyorrhea remedies;   D00033  Phenol (JP18/USP);Risk category of Japanese OTC drugs [BR:br08312(D00033)]; Second-class OTC drugs;  Inorganic and organic chemicals;   Phenol;    D00033  Phenol (JP18/USP);Animal drugs in Japan [BR:br08331]; 95  Agents for external use;  951  Antimicrobials for dermatologic use;   9519  Other antimicrobials for dermatologic use;    C00146  Phenol;Drug groups [BR:br08330(D00033)]; Neuropsychiatric agent;  DG02030  Anesthetics;   DG01675  Local anesthetic;    DG00301  Phenol;     D00033  Phenol;Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00033)]; Chemicals;  D00033  Phenol;  D00033  Liquefied phenol;  D00033  Phenol for disinfection",1.14.13.7;1.14.13.244;1.14.14.20;1.14.-.-;2.1.1.25;2.4.2.55;2.7.1.238;3.1.1.2;4.1.1.61;4.1.1.91;4.1.99.2,R00728 R00815 R01238 R01239 R01241 R05625 R07697 R09539;R10042 R10043 R10608 R11653 R12759
Phenylacetate,cpd:C07086,Phenylacetic acid;Benzylformic acid;Phenylacetate;Benzeneacetic acid,C8H8O2,Phenylalanine metabolism;Styrene degradation;Metabolic pathways;Microbial metabolism in diverse environments,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",Prodrugs [br08324.html]; C07086;Narcotics and psychotropics in Japan [br08308.html]; Stimulants by Control Act Article 2 Appended Table and Cabinet Order;  C07086,1.2.1.5;1.2.1.39;1.14.14.54;3.1.2.-;3.5.1.4;3.5.1.11;3.5.5.1;4.1.1.119;6.2.1.30,R02536 R02537 R02539 R02540 R04103 R05487 R06790 R06791;R07855 R09840 R12504
Propionate,cpd:C00163,Propanoate;Propionate;Propanoic acid;Propionic acid,C3H6O2,Propanoate metabolism;Ethylbenzene degradation;Nicotinate and nicotinamide metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Carbohydrate digestion and absorption;Protein digestion and absorption,NA,Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   Monocarboxylic acids;    C00163  Propionate; Propanoate;Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0101 Straight chain fatty acids;    C00163  Propanoic acid,1.3.1.125;2.7.2.1;2.7.2.15;2.8.3.1;2.8.3.27;3.7.1.-;4.1.3.32;6.2.1.1;6.2.1.13;6.2.1.17,R00920 R00925 R00928 R01353 R01354 R01355 R01449 R05366;R11773 R13136
Propyl alcohol,cpd:C05979,Propane-1-ol;Propanol;1-Propanol;Propan-1-ol;Propyl alcohol;1-Hydroxypropane;Ethylcarbinol;n-Propanol;n-Propyl alcohol;Optal;Osmosol extra;UN 1274,C3H8O,Propanoate metabolism;Metabolic pathways,NA,Lipids [BR:br08002]; FA  Fatty acyls;  FA05 Fatty alcohols;   C05979  1-Propanol;Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; D DERMATOLOGICALS;  D08 ANTISEPTICS AND DISINFECTANTS;   D08A ANTISEPTICS AND DISINFECTANTS;    D08AX Other antiseptics and disinfectants;     D08AX03 Propanol;      C05979  Propane-1-ol,1.1.1.202;2.3.1.152,R02377 R05061
Propylene glycol,cpd:C00583,"Propane-1,2-diol;1,2-Propanediol;Propylene glycol",C3H8O2,Propanoate metabolism;Metabolic pathways,NA,Therapeutic category of drugs in Japan [BR:br08301(D00078)]; 7  Agents not mainly for therapeutic purpose;  71  Dispensing medicines;   713  Solvents;    7139  Others;     D00078  Propylene glycol (JP18/USP);Animal drugs in Japan [BR:br08331]; 96  Agents affecting metabolism;  964  Saccharide preparations and blood substitutes;   9646  Propylene glycol and preparations;    C00583  Propylene glycol;Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00078)]; Chemicals;  D00078  Propylene glycol,1.1.1.6;1.1.1.21;1.1.1.55;1.1.1.77;4.2.1.28,R02257 R02259 R02376 R02577 R10717
Pyruvate,cpd:C00022,Pyruvate;Pyruvic acid;2-Oxopropanoate;2-Oxopropanoic acid;Pyroracemic acid,C3H4O3,"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pentose phosphate pathway;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Valine, leucine and isoleucine biosynthesis;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Benzoate degradation;Taurine and hypotaurine metabolism;Phosphonate and phosphinate metabolism;D-Amino acid metabolism;Pyruvate metabolism;Dioxin degradation;Xylene degradation;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;C5-Branched dibasic acid metabolism;Methane metabolism;Carbon fixation in photosynthetic organisms;Carbon fixation pathways in prokaryotes;Thiamine metabolism;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Lipoic acid metabolism;Terpenoid backbone biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Biosynthesis of amino acids;Biosynthesis of cofactors;Vancomycin resistance;Phosphotransferase system (PTS);HIF-1 signaling pathway;AMPK signaling pathway;Insulin secretion;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Central carbon metabolism in cancer;Diabetic cardiomyopathy","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate;Glycolysis, core module involving three-carbon compounds;Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate;Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine;D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P;C5 isoprenoid biosynthesis, non-mevalonate pathway;CAM (Crassulacean acid metabolism), light;C4-dicarboxylic acid cycle, NAD - malic enzyme type;C4-dicarboxylic acid cycle, NADP - malic enzyme type;Reductive citrate cycle (Arnon-Buchanan cycle);Pyruvate oxidation, pyruvate => acetyl-CoA;Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P;Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate;Dicarboxylate-hydroxybutyrate cycle;3-Hydroxypropionate bi-cycle;Isoleucine biosynthesis, pyruvate => 2-oxobutanoate;Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA;Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate;D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P;Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P;Betaine degradation, bacteria, betaine => pyruvate",Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   2-Oxocarboxylic acids;    C00022  Pyruvate; 2-Oxopropanoate;Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0106 Oxo fatty acids;    C00022  2-Oxopropanoic acid,1.1.1.27;1.1.1.28;1.1.1.38;1.1.1.39;1.1.1.40;1.1.1.83;1.1.1.436;1.1.2.3;1.1.2.4;1.1.2.5;1.1.3.2;1.1.5.12;1.1.99.6;1.1.99.7;1.1.99.40;1.2.1.22;1.2.1.23;1.2.1.49;1.2.1.51;1.2.1.104;1.2.3.3;1.2.3.6;1.2.3.15;1.2.4.1;1.2.5.1;1.2.7.1;1.2.7.11;1.2.7.-;1.4.1.1;1.4.1.17;1.4.3.3;1.4.3.19;1.5.1.11;1.5.1.16;1.5.1.17;1.5.1.22;1.5.1.23;1.5.1.24;1.5.1.26;1.5.1.28;1.5.1.52;1.14.11.43;1.14.11.44;2.1.3.1;2.2.1.6;2.2.1.7;2.2.1.12;2.3.1.54;2.3.3.21;2.6.1.2;2.6.1.12;2.6.1.15;2.6.1.18;2.6.1.21;2.6.1.30;2.6.1.37;2.6.1.40;2.6.1.41;2.6.1.43;2.6.1.44;2.6.1.46;2.6.1.47;2.6.1.51;2.6.1.56;2.6.1.58;2.6.1.66;2.6.1.71;2.6.1.77;2.6.1.84;2.6.1.96;2.6.1.99;2.6.1.108;2.6.1.113;2.6.1.115;2.6.1.119;2.6.3.1;2.7.1.40;2.7.1.121;2.7.3.9;2.7.9.1;2.7.9.2;2.8.1.2;3.1.3.60;3.3.2.1;3.3.2.13;3.3.2.15;3.5.99.10;3.7.1.5;3.7.1.6;3.7.1.20;3.7.1.23;3.7.1.26;3.7.1.-;3.11.1.3;4.1.1.1;4.1.1.64;4.1.1.78;4.1.1.112;4.1.1.-;4.1.2.14;4.1.2.18;4.1.2.20;4.1.2.21;4.1.2.23;4.1.2.28;4.1.2.34;4.1.2.45;4.1.2.51;4.1.2.52;4.1.2.53;4.1.2.54;4.1.2.55;4.1.2.58;4.1.2.64;4.1.2.-;4.1.3.3;4.1.3.16;4.1.3.17;4.1.3.22;4.1.3.25;4.1.3.27;4.1.3.30;4.1.3.32;4.1.3.38;4.1.3.39;4.1.3.40;4.1.3.42;4.1.3.43;4.1.3.44;4.1.3.45;4.1.3.46;4.1.99.1;4.1.99.2;4.2.1.-;4.2.99.20;4.2.99.21;4.3.1.10;4.3.1.13;4.3.1.15;4.3.1.17;4.3.1.18;4.3.1.19;4.3.3.7;4.3.3.8;4.4.1.1;4.4.1.13;4.4.1.15;4.4.1.24;4.4.1.25;4.4.1.28;4.4.1.35;4.4.1.36;4.4.1.-;4.5.1.2;6.4.1.1;7.2.4.2,R00006 R00008 R00014 R00195 R00196 R00197 R00198 R00199;R00200 R00203 R00205 R00206 R00207 R00208 R00209 R00210;R00211 R00212 R00213 R00214 R00215 R00216 R00217 R00218;R00219 R00220 R00221 R00223 R00224 R00226 R00237 R00258;R00297 R00324 R00325 R00344 R00350 R00353 R00368 R00369;R00396 R00398 R00400 R00409 R00430 R00452 R00453 R00470;R00471 R00532 R00543 R00562 R00572 R00576 R00585 R00659;R00666 R00673 R00692 R00703 R00704 R00724 R00728 R00750;R00782 R00906 R00907 R00930 R00985 R00986 R01012 R01031;R01032 R01064 R01085 R01138 R01147 R01148 R01196 R01215;R01261 R01286 R01302 R01335 R01344 R01355 R01447 R01576;R01584 R01645 R01647 R01683 R01699 R01712 R01782 R01784;R01811 R01858 R01874 R02050 R02261 R02271 R02293 R02320;R02408 R02628 R02721 R02754 R02953 R02970 R03001 R03037;R03050 R03081 R03105 R03145 R03277 R03465 R03502 R03528;R03732 R03796 R03854 R04152 R04187 R04350 R04672 R04861;R04941 R05136 R05298 R05538 R05544 R05553 R05605 R05636;R05648 R05652 R05861 R06602 R06603 R06913 R06923 R06934;R07399 R07633 R07634 R07685 R07692 R07713 R08166 R08170;R08197 R08200 R08253 R08570 R08648 R08654 R08660 R08667;R08686 R08698 R08714 R09048 R09088 R09238 R09254 R09366;R10147 R10178 R10180 R10283 R10487 R10527 R10539 R10542;R10550 R10552 R10583 R10597 R10616 R10674 R10691 R10866;R10992 R11023 R11038 R11099 R11141 R11213 R11257 R11352;R11463 R11591 R11593 R11676 R11864 R11996 R12188 R12212;R12237 R12343 R12622 R12689 R12707 R12768 R13049 R13050;R13181 R13209
Trimethylamine,cpd:C00565,"Trimethylamine;(CH3)3N;N,N-Dimethylmethanamine",C3H9N,Methane metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",NA,1.5.8.2;1.7.2.3;1.14.13.148;1.14.13.239;1.21.4.4;2.1.1.247;2.1.1.250;2.1.1.252;4.3.99.4,R02511 R02560 R04877 R05623 R07228 R09124 R10016 R10017;R10285 R11875 R11911
Valerate,cpd:C00803,Pentanoate;Valerate;Pentanoic acid;Valeric acid;Valerianic acid;n-Pentanoate;n-Valeric acid,C5H10O2,NA,NA,Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   Monocarboxylic acids;    C00803  Valerate; Pentanoate;Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0101 Straight chain fatty acids;    C00803  Pentanoic acid,3.5.1.50,R02938
p-Cresol,cpd:C01468,4-Cresol;p-Cresol;4-Hydroxytoluene;4-Methylphenol,C7H8O,Toluene degradation;Nitrotoluene degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Protein digestion and absorption,NA,NA,1.14.13.7;1.14.13.236;1.14.13.-;1.17.9.1;4.1.1.83;4.1.99.19,R02675 R03568 R05666 R07312 R07663 R08041 R10246 R12133
DSS-d6,NA,NA,NA,NA,NA,NA,NA,NA
